"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10800,"Sac@OKC 07:00PM ET",47.904,"Sac"
"PG","Stephen Curry",10700,"GS@Bkn 06:00PM ET",53.560,"GS"
"PG","Russell Westbrook",10400,"Sac@OKC 07:00PM ET",55.776,"OKC"
"SF","Kevin Durant",10200,"Sac@OKC 07:00PM ET",48.346,"OKC"
"C","Andre Drummond",9300,"LAL@Det 06:00PM ET",48.125,"Det"
"PG","Rajon Rondo",8800,"Sac@OKC 07:00PM ET",40.929,"Sac"
"PG","John Wall",8700,"Dal@Was 06:00PM ET",40.250,"Was"
"PF","Draymond Green",8000,"GS@Bkn 06:00PM ET",39.143,"GS"
"PG","Reggie Jackson",7700,"LAL@Det 06:00PM ET",36.763,"Det"
"C","Brook Lopez",7600,"GS@Bkn 06:00PM ET",38.013,"Bkn"
"SG","Bradley Beal",7200,"Dal@Was 06:00PM ET",33.804,"Was"
"SF","Rudy Gay",7100,"Sac@OKC 07:00PM ET",30.038,"Sac"
"PF","Dirk Nowitzki",6900,"Dal@Was 06:00PM ET",32.500,"Dal"
"PF","Thaddeus Young",6900,"GS@Bkn 06:00PM ET",31.855,"Bkn"
"PG","Deron Williams",6600,"Dal@Was 06:00PM ET",30.684,"Dal"
"SF","Marcus Morris",6400,"LAL@Det 06:00PM ET",28.925,"Det"
"PF","Julius Randle",6400,"LAL@Det 06:00PM ET",28.645,"LAL"
"C","Zaza Pachulia",6300,"Dal@Was 06:00PM ET",29.375,"Dal"
"SG","Klay Thompson",6300,"GS@Bkn 06:00PM ET",27.925,"GS"
"SG","Kobe Bryant",6100,"LAL@Det 06:00PM ET",28.922,"LAL"
"PG","Jarrett Jack",6100,"GS@Bkn 06:00PM ET",30.264,"Bkn"
"PF","Serge Ibaka",6100,"Sac@OKC 07:00PM ET",28.921,"OKC"
"C","Marcin Gortat",5800,"Dal@Was 06:00PM ET",28.484,"Was"
"SG","Jordan Clarkson",5800,"LAL@Det 06:00PM ET",26.000,"LAL"
"SF","Harrison Barnes",5600,"GS@Bkn 06:00PM ET",24.897,"GS"
"SF","Otto Porter",5500,"Dal@Was 06:00PM ET",23.750,"Was"
"PG","D'Angelo Russell",5300,"LAL@Det 06:00PM ET",23.789,"LAL"
"SF","Andre Iguodala",5200,"GS@Bkn 06:00PM ET",22.345,"GS"
"SF","Joe Johnson",5100,"GS@Bkn 06:00PM ET",23.921,"Bkn"
"SG","Wesley Matthews",4800,"Dal@Was 06:00PM ET",19.778,"Dal"
"SG","Kentavious Caldwell-Pope",4800,"LAL@Det 06:00PM ET",22.438,"Det"
"C","Roy Hibbert",4700,"LAL@Det 06:00PM ET",23.000,"LAL"
"C","Kosta Koufos",4700,"Sac@OKC 07:00PM ET",22.048,"Sac"
"SF","Omri Casspi",4700,"Sac@OKC 07:00PM ET",22.888,"Sac"
"C","Enes Kanter",4700,"Sac@OKC 07:00PM ET",23.605,"OKC"
"PF","Ersan Ilyasova",4600,"LAL@Det 06:00PM ET",18.813,"Det"
"PG","Darren Collison",4600,"Sac@OKC 07:00PM ET",23.188,"Sac"
"SG","Rondae Hollis-Jefferson",4600,"GS@Bkn 06:00PM ET",18.289,"Bkn"
"C","Andrew Bogut",4500,"GS@Bkn 06:00PM ET",21.679,"GS"
"C","Festus Ezeli",4300,"GS@Bkn 06:00PM ET",21.083,"GS"
"PF","Dwight Powell",4300,"Dal@Was 06:00PM ET",21.300,"Dal"
"SF","Jared Dudley",4200,"Dal@Was 06:00PM ET",15.047,"Was"
"PG","Brandon Jennings",4200,"LAL@Det 06:00PM ET",0,"Det"
"SG","Dion Waiters",4200,"Sac@OKC 07:00PM ET",20.868,"OKC"
"SF","Stanley Johnson",4200,"LAL@Det 06:00PM ET",16.538,"Det"
"PF","Nene Hilario",4100,"Dal@Was 06:00PM ET",17.604,"Was"
"PG","Lou Williams",4100,"LAL@Det 06:00PM ET",21.132,"LAL"
"SF","Chandler Parsons",4100,"Dal@Was 06:00PM ET",14.768,"Dal"
"PG","Raymond Felton",4000,"Dal@Was 06:00PM ET",17.700,"Dal"
"SG","Marco Belinelli",4000,"Sac@OKC 07:00PM ET",18.083,"Sac"
"PG","Shane Larkin",3900,"GS@Bkn 06:00PM ET",17.961,"Bkn"
"PF","Kris Humphries",3800,"Dal@Was 06:00PM ET",14.406,"Was"
"C","Steven Adams",3700,"Sac@OKC 07:00PM ET",17.408,"OKC"
"SG","Nick Young",3500,"LAL@Det 06:00PM ET",14.853,"LAL"
"PG","Ramon Sessions",3500,"Dal@Was 06:00PM ET",16.426,"Was"
"SG","Brandon Rush",3500,"GS@Bkn 06:00PM ET",9.404,"GS"
"SG","Ben McLemore",3500,"Sac@OKC 07:00PM ET",15.012,"Sac"
"PF","Brandon Bass",3400,"LAL@Det 06:00PM ET",13.708,"LAL"
"C","Willie Cauley-Stein",3400,"Sac@OKC 07:00PM ET",14.813,"Sac"
"PG","J.J. Barea",3300,"Dal@Was 06:00PM ET",17.391,"Dal"
"PG","Shaun Livingston",3300,"GS@Bkn 06:00PM ET",11.974,"GS"
"SF","Bojan Bogdanovic",3300,"GS@Bkn 06:00PM ET",14.526,"Bkn"
"SF","Metta World Peace",3200,"LAL@Det 06:00PM ET",12.817,"LAL"
"PG","Devin Harris",3200,"Dal@Was 06:00PM ET",16.079,"Dal"
"SG","Gary Neal",3200,"Dal@Was 06:00PM ET",14.383,"Was"
"C","Ryan Hollins",3200,"Dal@Was 06:00PM ET",3.375,"Was"
"PF","Anthony Tolliver",3200,"LAL@Det 06:00PM ET",11.421,"Det"
"C","Marreese Speights",3200,"GS@Bkn 06:00PM ET",11.059,"GS"
"SG","Andre Roberson",3200,"Sac@OKC 07:00PM ET",12.792,"OKC"
"PG","Steve Blake",3100,"LAL@Det 06:00PM ET",10.047,"Det"
"PG","Leandro Barbosa",3100,"GS@Bkn 06:00PM ET",12.889,"GS"
"PF","Charlie Villanueva",3100,"Dal@Was 06:00PM ET",11.931,"Dal"
"SG","Anthony Morrow",3100,"Sac@OKC 07:00PM ET",9.125,"OKC"
"SG","Garrett Temple",3100,"Dal@Was 06:00PM ET",11.367,"Was"
"PG","D.J. Augustin",3100,"Sac@OKC 07:00PM ET",11.658,"OKC"
"SG","Wayne Ellington",3100,"GS@Bkn 06:00PM ET",8.514,"Bkn"
"PG","Seth Curry",3100,"Sac@OKC 07:00PM ET",7.125,"Sac"
"PF","Thomas Robinson",3100,"GS@Bkn 06:00PM ET",11.092,"Bkn"
"PF","Larry Nance Jr.",3100,"LAL@Det 06:00PM ET",10.518,"LAL"
"C","Nick Collison",3000,"Sac@OKC 07:00PM ET",9.438,"OKC"
"SG","Alan Anderson",3000,"Dal@Was 06:00PM ET",0,"Was"
"PF","Drew Gooden",3000,"Dal@Was 06:00PM ET",11.542,"Was"
"SF","Caron Butler",3000,"Sac@OKC 07:00PM ET",5.469,"Sac"
"SF","Steve Novak",3000,"Sac@OKC 07:00PM ET",4.750,"OKC"
"PF","Joel Anthony",3000,"LAL@Det 06:00PM ET",6.000,"Det"
"PF","Jason Thompson",3000,"GS@Bkn 06:00PM ET",6.100,"GS"
"C","Aron Baynes",3000,"LAL@Det 06:00PM ET",10.238,"Det"
"C","Andrea Bargnani",3000,"GS@Bkn 06:00PM ET",8.544,"Bkn"
"SG","Jodie Meeks",3000,"LAL@Det 06:00PM ET",2.000,"Det"
"PG","Donald Sloan",3000,"GS@Bkn 06:00PM ET",2.500,"Bkn"
"C","JaVale McGee",3000,"Dal@Was 06:00PM ET",9.300,"Dal"
"SF","Jeremy Evans",3000,"Dal@Was 06:00PM ET",4.839,"Dal"
"SF","Kyle Singler",3000,"Sac@OKC 07:00PM ET",5.500,"OKC"
"SG","James Anderson",3000,"Sac@OKC 07:00PM ET",5.167,"Sac"
"C","Robert Sacre",3000,"LAL@Det 06:00PM ET",4.000,"LAL"
"C","DeJuan Blair",3000,"Dal@Was 06:00PM ET",6.393,"Was"
"PF","Quincy Acy",3000,"Sac@OKC 07:00PM ET",6.182,"Sac"
"SF","Willie Reed",3000,"GS@Bkn 06:00PM ET",15.000,"Bkn"
"SG","Ian Clark",3000,"GS@Bkn 06:00PM ET",7.279,"GS"
"SG","John Jenkins",3000,"Dal@Was 06:00PM ET",6.063,"Dal"
"SF","Ryan Kelly",3000,"LAL@Det 06:00PM ET",11.792,"LAL"
