TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,CFID,CFPARAMS,SEASON_ID,GAME_DATE
1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,67.8,98.8,-31.0,0.519,0.58,10.8,0.34,0.659,0.489,0.243,0.331,0.365,96.96,0.195,10,Cleveland Cavaliers,22002,2002-10-29
1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,82.7,86.8,-4.1,0.593,0.89,12.1,0.293,0.738,0.48,0.181,0.341,0.418,99.72,0.347,10,Los Angeles Lakers,22002,2002-10-29
1610612753,Orlando Magic,1,1,0,1.0,48.0,97.3,87.1,10.2,0.667,1.6,18.5,0.186,0.738,0.459,0.154,0.481,0.524,99.38,0.538,10,Orlando Magic,22002,2002-10-29
1610612755,Philadelphia 76ers,1,0,1,0.0,48.0,87.1,97.3,-10.2,0.613,0.95,14.5,0.262,0.814,0.541,0.198,0.41,0.478,99.38,0.462,10,Philadelphia 76ers,22002,2002-10-29
1610612758,Sacramento Kings,1,1,0,1.0,48.0,98.8,67.8,31.0,0.583,1.05,16.0,0.341,0.66,0.511,0.21,0.488,0.522,96.96,0.805,10,Sacramento Kings,22002,2002-10-29
1610612759,San Antonio Spurs,1,1,0,1.0,48.0,86.8,82.7,4.1,0.577,0.75,11.9,0.262,0.707,0.52,0.2,0.387,0.477,99.72,0.653,10,San Antonio Spurs,22002,2002-10-29
1610612737,Atlanta Hawks,1,1,0,1.0,48.0,101.3,99.0,2.3,0.618,1.24,17.4,0.243,0.75,0.529,0.187,0.5,0.556,90.36,0.526,10,Atlanta Hawks,22002,2003-03-22
1610612738,Boston Celtics,1,0,1,0.0,48.0,83.3,91.9,-8.7,0.652,0.79,12.2,0.25,0.743,0.458,0.198,0.347,0.449,96.98,0.343,10,Boston Celtics,22002,2003-03-22
1610612741,Chicago Bulls,1,1,0,1.0,48.0,107.8,100.8,6.9,0.707,1.93,22.3,0.229,0.76,0.541,0.162,0.552,0.583,95.0,0.556,10,Chicago Bulls,22002,2003-03-22
1610612742,Dallas Mavericks,1,1,0,1.0,48.0,110.2,104.3,5.8,0.692,2.7,20.5,0.293,0.762,0.53,0.108,0.506,0.539,91.8,0.551,10,Dallas Mavericks,22002,2003-03-22
1610612743,Denver Nuggets,1,1,0,1.0,48.0,91.9,83.3,8.7,0.714,1.19,19.0,0.257,0.75,0.542,0.215,0.486,0.524,96.98,0.657,10,Denver Nuggets,22002,2003-03-22
1610612754,Indiana Pacers,1,0,1,0.0,48.0,99.0,101.3,-2.3,0.568,3.0,17.1,0.25,0.757,0.471,0.078,0.443,0.469,90.36,0.474,10,Indiana Pacers,22002,2003-03-22
1610612746,Los Angeles Clippers,1,0,1,0.0,48.0,80.6,98.3,-17.6,0.476,0.63,8.3,0.364,0.7,0.482,0.177,0.275,0.386,90.04,0.259,10,Los Angeles Clippers,22002,2003-03-22
1610612763,Memphis Grizzlies,1,0,1,0.0,48.0,102.4,112.0,-9.7,0.55,1.69,17.4,0.174,0.656,0.372,0.134,0.523,0.54,96.12,0.36,10,Memphis Grizzlies,22002,2003-03-22
1610612749,Milwaukee Bucks,1,1,0,1.0,48.0,103.6,93.0,10.5,0.351,0.93,11.6,0.257,0.542,0.422,0.156,0.526,0.548,90.58,0.599,10,Milwaukee Bucks,22002,2003-03-22
1610612751,New Jersey Nets,1,1,0,1.0,48.0,112.0,102.4,9.7,0.8,1.78,23.1,0.344,0.826,0.628,0.188,0.547,0.604,96.12,0.64,10,New Jersey Nets,22002,2003-03-22
